length,0dig,10dig,20dig,30dig,40dig,50dig,60dig,70dig,80dig,85dig
511.06,2028.2,1980.2,1885.8,1793,1566.4,1402.4,1157.8,847.2,375.8,12.8
511.58,2036.4,2041.8,1919.2,1784.2,1613.4,1445.4,1152,816.6,408.6,27.4
512.09,2078.8,2039,2007.6,1860.2,1638,1433.6,1184.2,871.8,360.4,23.2
512.61,2097.8,2056,1969.6,1831.4,1636.8,1483.4,1220.4,843.8,383.8,22.2
513.12,2138.8,2168.8,2038.6,1904.6,1654.2,1497.6,1265,921.4,366.6,28.2
513.64,2152,2170.8,2048.8,1881,1698.6,1515.8,1221.6,867.4,408.4,2.2
514.15,2152.2,2146.6,2020.4,1886.2,1748.6,1514.6,1297,854.4,421.2,-0.6
514.67,2170.8,2159.6,2045,1926,1709.8,1546.2,1273,933.8,358.8,16.8
515.18,2216.4,2162.6,2089.4,1986.2,1790.6,1576,1285.8,934.8,392.2,37.6
515.7,2231.4,2214.6,2120.8,2006.6,1767.4,1573.8,1268.2,917.6,426.4,7
516.21,2263.6,2233.8,2134.2,2037.4,1837,1597.8,1304.6,953,396.6,36
516.73,2338.2,2294.2,2135.6,2032.2,1830.8,1675,1315.8,1002.4,430.8,12.2
517.24,2333.6,2353.4,2210.6,2014,1880.6,1634.2,1359,1011.8,394.6,43
517.75,2382.8,2389.6,2219.4,2082,1844.2,1624.4,1384.8,1017.2,394.6,14.6
518.27,2404.2,2353.6,2230.4,2153.6,1892,1677.6,1364.2,1013.8,423.4,-0.4
518.78,2439.8,2430.6,2298.8,2150,1952.6,1689.2,1410.2,999,440.6,19
519.29,2425.4,2404.4,2345.6,2142,1917.2,1718.4,1425.2,1043.6,435.2,-5.6
519.8,2477.2,2425.2,2299.2,2137,1951,1733.8,1430.6,1071.2,433.8,-4.8
520.32,2488.8,2409.8,2343.2,2230.4,2003,1725.8,1493,1038.6,436.6,-6.2
520.83,2543.6,2449.8,2363.8,2225,2047.4,1802.6,1492.4,1061.4,414.4,34
521.34,2605,2551.6,2424.2,2247.8,2011.8,1797.4,1490.8,1055,429.4,10.8
521.85,2607.4,2609.2,2406.6,2209.6,2077,1777.4,1479.8,1077,479.2,-6
522.36,2651,2613.4,2483,2268.6,2122,1837.2,1505.6,1110.4,512,11.2
522.88,2665.2,2608.2,2532.4,2325.8,2140.2,1835,1503.4,1090.4,487.4,18.6
523.39,2674.8,2642.8,2566.2,2383.8,2096.2,1886.8,1545,1099.8,475.8,-10.6
523.9,2751.6,2648.6,2535.2,2329.8,2168.6,1852.2,1541.2,1162.8,452.2,-16
524.41,2720,2690,2615.6,2375.4,2198.6,1918,1570.4,1145.4,485.2,-31
524.92,2725.4,2703.6,2650.4,2345.4,2199.4,1955.6,1578.8,1138.4,475,-22.2
